metodo,intento,tamaño,pasos,h,tiempo en s,,metodo,tamaño,porcentaje de exito,promedio de tiempo en s,desviación estandar,promedio de pasos,desviacion estandar de pasos
sa,16,15,10001,1,"1,09500432",,,,,,,,
sa,17,15,5934,0,"0,6436440945",,,,,,,,
sa,18,15,10001,1,"1,084790945",,,,,,,,
sa,19,15,5447,0,"0,6225569248",,,,,,,,
sa,20,15,8672,0,"0,9957082272",,,,,,,,
sa,21,15,5951,0,"0,6186282635",,,,,,,,
sa,22,15,8352,0,"0,9411969185",,,,,,,,
sa,23,15,6934,0,"0,7583901882",,,,,,,,
sa,24,15,6256,0,"0,6745531559",,,,,,,,
sa,25,15,6750,0,"0,9732642174",,,,,,,,
sa,26,15,10001,1,"1,12148118",,,,,,,,
sa,27,15,6849,0,"0,7563068867",,,,,,,,
sa,28,15,5608,0,"0,620331049",,,,,,,,
sa,29,15,7084,0,"0,8608729839",,,,,,,,
hc,0,8,3,1,"4,018610239",,,,,,,,
hc,1,8,3,2,"4,016110897",,,,,,,,
hc,2,8,3,1,"4,018121004",,,,,,,,
hc,3,8,3,3,"4,020344019",,,,,,,,
hc,4,8,3,1,"4,020936728",,,,,,,,
hc,5,8,3,1,"4,019321203",,,,,,,,
hc,6,8,3,1,"4,017554283",,,,,,,,
hc,7,8,3,1,"4,016971111",,,,,,,,
hc,8,8,4,0,"5,025240898",,,,,,,,
hc,9,8,2,3,"3,016569853",,,,,,,,
hc,10,8,4,2,"5,019248962",,,,,,,,
hc,11,8,2,1,"3,017990112",,,,,,,,
hc,12,8,3,1,"4,019901752",,,,,,,,
hc,13,8,5,0,"6,019355774",,,,,,,,
hc,14,8,5,1,"6,025534868",,,,,,,,
hc,15,8,2,2,"3,013674021",,,,,,,,
hc,16,8,3,2,"4,021819115",,,,,,,,
hc,17,8,3,2,"4,018634081",,,,,,,,
hc,18,8,3,2,"4,015017033",,,,,,,,
hc,19,8,2,2,"3,011936903",,,,,,,,
hc,20,8,4,0,"5,023740768",,,,,,,,
hc,21,8,4,1,"5,016436815",,,,,,,,
hc,22,8,3,2,"4,020771027",,,,,,,,
hc,23,8,2,1,"3,013019085",,,,,,,,
hc,24,8,4,1,"5,023091793",,,,,,,,
hc,25,8,5,0,"6,02330184",,,,,,,,
hc,26,8,3,2,"4,020472765",,,,,,,,
hc,27,8,3,2,"4,024973154",,,,,,,,
hc,28,8,3,2,"4,021186829",,,,,,,,
hc,29,8,4,1,"5,027293921",,,,,,,,
hc,0,10,2,2,"3,022337914",,,,,,,,
hc,1,10,5,1,"6,032691002",,,,,,,,
hc,2,10,3,4,"4,023624897",,,,,,,,
hc,3,10,5,1,"6,035756826",,,,,,,,
hc,4,10,5,1,"6,029709816",,,,,,,,
hc,5,10,5,1,"6,03606987",,,,,,,,
hc,6,10,3,2,"4,020326853",,,,,,,,
hc,7,10,4,2,"5,029738903",,,,,,,,
hc,8,10,5,1,"6,036954165",,,,,,,,
hc,9,10,6,0,"7,043488979",,,,,,,,
hc,10,10,5,1,"6,040247679",,,,,,,,
hc,11,10,4,1,"5,029378653",,,,,,,,
hc,12,10,3,1,"4,025303125",,,,,,,,
hc,13,10,4,1,"5,034851074",,,,,,,,
hc,14,10,4,1,"5,027433872",,,,,,,,
hc,15,10,5,2,"6,036665678",,,,,,,,
hc,16,10,6,1,"7,039289951",,,,,,,,
hc,17,10,4,1,"5,03405118",,,,,,,,
hc,18,10,5,1,"6,034934044",,,,,,,,
